ID_Client,Num_Acc,dep_residence,Souscription_Premium+,cout,annees_permis,age_v,sexe,age
ID_00015117,201600000009,59,0,1273.0715525683654,0,7.0,F,32.0
ID_00019488,201600000010,59,0,1180.1821888207073,0,7.0,H,25.0
ID_00011159,201600000011,59,0,625.4900491740076,9,5.0,H,43.0
ID_00019361,201600000024,59,0,522.7575809231795,9,9.0,F,60.0
ID_00016105,201600000025,59,0,346.97477639799104,+10ans,9.0,F,50.0
ID_00014404,201600000044,59,1,406.3492548979393,+10ans,4.0,F,56.0
ID_00011569,201600000051,59,0,525.5590228691227,+10ans,10.0,F,42.0
ID_00010788,201600000054,59,0,413.52176123844737,+10ans,12.0,F,42.0
ID_00017864,201600000061,59,0,1063.8693264482165,2,14.0,F,24.0
ID_00013540,201600000067,59,1,1209.2333944136826,0,8.0,F,19.0
ID_00012346,201600000070,59,0,837.5797063598303,6,6.0,H,17.0
ID_00011171,201600000070,59,0,1161.6904489036835,0,12.0,H,23.0
ID_00017160,201600000087,59,0,634.4960986252253,7,7.0,F,26.0
ID_00014096,201600000092,59,1,1030.7992046031898,2,6.0,F,27.0
ID_00013946,201600000096,59,0,423.1198733812336,+10ans,5.0,H,65.0
ID_00011757,201600000100,59,0,609.0685701447971,9,8.0,F,72.0
ID_00015138,201600000106,59,0,1114.751412860022,1,7.0,H,18.0
ID_00011019,201600000106,59,0,451.49428994503205,+10ans,7.0,H,59.0
ID_00019184,201600000108,59,0,405.2147954668586,+10ans,17.0,H,67.0
ID_00017326,201600000110,59,1,486.1955727258969,+10ans,6.0,F,40.0
ID_00017538,201600000127,59,0,432.18841333967765,+10ans,11.0,H,89.0
ID_00015561,201600000127,59,0,513.3648554207812,+10ans,4.0,F,61.0
ID_00010425,201600000129,59,0,403.2823626545859,+10ans,5.0,F,89.0
ID_00011573,201600000129,59,0,456.69229866663846,+10ans,4.0,F,61.0
ID_00016756,201600000134,59,0,481.2099223189032,+10ans,8.0,F,69.0
ID_00010575,201600000140,59,0,914.1119251335347,3,10.0,H,31.0
ID_00015873,201600000142,59,0,1255.1275670450773,0,10.0,H,19.0
ID_00011423,201600000143,59,0,554.5497061780248,+10ans,10.0,H,70.0
ID_00014635,201600000144,59,0,877.7969223699504,5,5.0,H,23.0
ID_00018410,201600000145,93,0,456.69279760901185,+10ans,7.0,H,41.0
ID_00013533,201600000145,59,1,1046.7075749136068,2,7.0,F,20.0
ID_00012982,201600000148,59,0,398.3436870800744,+10ans,11.0,F,37.0
ID_00019076,201600000155,61,0,1108.075118157622,0,11.0,H,26.0
ID_00017869,201600000168,59,0,507.40897887518724,+10ans,11.0,F,79.0
ID_00011194,201600000170,59,1,923.5258306239715,4,6.0,H,23.0
ID_00015198,201600000177,77,0,604.3892740691118,9,8.0,H,79.0
ID_00019223,201600000177,59,0,856.0657338631427,5,7.0,H,23.0
ID_00011277,201600000180,59,0,1115.5671429748033,0,11.0,H,26.0
ID_00018062,201600000181,59,0,763.7288516944766,0,3.0,F,29.0
ID_00017964,201600000195,3,0,526.4832348016506,9,9.0,H,42.0
ID_00015989,201600000212,62,0,1103.632226657896,2,9.0,H,22.0
ID_00010662,201600000212,62,0,1108.1184585648214,0,8.0,H,22.0
ID_00015814,201600000223,62,0,945.8073192055464,2,9.0,H,21.0
ID_00017185,201600000224,62,0,506.18648870772006,+10ans,14.0,F,70.0
ID_00019153,201600000239,62,0,1177.8832198786095,0,6.0,F,21.0
ID_00015078,201600000244,62,0,1014.4604466616593,3,19.0,F,22.0
ID_00013597,201600000245,62,0,879.0780047185962,4,2.0,H,21.0
ID_00016658,201600000249,62,0,1038.7583065107642,3,9.0,F,27.0
ID_00019696,201600000267,62,0,956.9198757202299,3,9.0,F,21.0
ID_00017022,201600000282,62,0,934.9349359793924,3,12.0,F,22.0
ID_00011897,201600000290,62,0,1040.1508983316203,3,7.0,H,24.0
ID_00019424,201600000290,62,0,868.6139126363032,4,8.0,H,22.0
ID_00015137,201600000294,93,1,333.7244167985049,+10ans,6.0,F,70.0
ID_00014991,201600000296,62,0,858.2000479777472,6,8.0,H,24.0
ID_00018924,201600000304,62,0,1058.2463108702646,3,5.0,F,22.0
ID_00015670,201600000309,62,1,855.9519763487303,4,3.0,H,34.0
ID_00011102,201600000325,80,0,1028.2042822578335,3,18.0,H,31.0
ID_00014478,201600000341,80,0,847.7970702246116,4,13.0,H,24.0
ID_00015471,201600000362,2,1,1014.5092663585358,2,14.0,H,19.0
ID_00015302,201600000363,2,1,1141.2327981718852,1,10.0,H,17.0
ID_00014809,201600000366,2,1,373.2713843395492,+10ans,5.0,F,56.0
